Description,Qty,RefDes,Mfg,Mfg PN
CONN HDR 2POS 0.1 TIN PCB,2,"J2, J3",Sullins Connector Solutions,PPTC021LFBN-RC
CONN HDR 3POS 0.1 TIN PCB,1,J1,Sullins Connector Solutions,PPTC031LFBN-RC
DIODE GEN PURP 100V 250MA SOD323,1,D2,Nexperia,"BAS165J,115"
FERRITE BEAD 600 OHM 0805 1LN,1,L2,TDK,MPZ2012S601ATD25
CONN HDR 16POS 0.1 TIN PCB,1,J6,Sullins Connector Solutions,PPTC161LFBN-RC
CONN HDR 12POS 0.1 TIN PCB,1,J7,Sullins Connector Solutions,PPTC121LFBN-RC
CAP CER 0.1UF 50V X7R 0402,12,"C1, C2, C3, C4, C5, C6, C9, C10, C11, C17, C19, C21",Murata,GRM155R71H104KE14J
RES SMD 0 OHM JUMPER 1/16W 0402,1,R17,Yageo,RC0402JR-070RL
RES SMD 10K OHM 1% 1/16W 0402,3,"R2, R20, R21",Vishay Dale,CRCW040210K0FKEDC
RES SMD 10K OHM 1% 1/8W 0805,7,"R4, R5, R7, R9, R15, R16, R18",Yageo,RC0805FR-0710KL
RES SMD 4.7K OHM 1% 1/8W 0805,2,"R1, R3",Yageo,RC0805FR-074K7L
RES SMD 10 OHM 1% 1/16W 0402,1,R12,Yageo,RC0402FR-0710RL
RES ARRAY 4 RES 10K OHM 0804,2,"RN1, RN2",Panasonic,EXB-28V103JX
CAP CER 10000PF 50V X7R 0402,2,"C14, C26",Yageo,CC0402KRX7R9BB103
CAP CER 10UF 6.3V X7R 0603,2,"C22, C23",Samsung Electro-Mechanics,CL10B106MQ8NRNC
RES SMD 12.4K OHM 1% 1/16W 0402,1,R6,Yageo,RC0402FR-0712K4L
CAP CER 18PF 50V C0G/NPO 0402,2,"C7, C8",Yageo,CC0402JRNPO9BN180
RES SMD 1M OHM 1% 1/16W 0402,1,R8,Yageo,RC0402FR-071ML
RES SMD 1K OHM 1% 1/16W 0402,1,R24,Yageo,RT0402FRE071KL
CAP CER 1000PF 2KV X7R 1808,1,C15,KEMET,C1808C102KGRACTU
CAP CER 1UF 25V X7R 0805,1,C18,KEMET,C0805C105K3RACTU
CRYSTAL 25MHZ 12PF SMD,1,Y1,ECS,ECS-250-12-33-AGN-TR
RES SMD 330 OHM 1% 1/16W 0402,2,"R22, R23",Yageo,AC0402FR-07330RL
RES SMD 33 OHM 1% 1/16W 0402,4,"R34, R35, R36, R37",Yageo,RC0402FR-0733RL
CAP CER 4.7UF 6.3V X7R 0603,1,C16,Yageo,CC0603MRX7R5BB475
RES SMD 49.9 OHM 1% 1/16W 0402,4,"R10, R11, R13, R14",Yaego,RC0402FR-0749R9L
CAP CER 6800PF 50V X7R 0402,2,"C12, C13",Yageo,CC0402KRX7R9BB682
IC ADC 16BIT SIGMA-DELTA 10VSSOP,1,U2,Texas Instruments,ADS1115IDGST
SENSOR PRESSURE HUMIDITY TEMP,1,IC1,Bosch,BME280
SENSOR PRES 1PSI DIFF 3V DIGITAL,1,PRESSURE1,Honeywell,HSCDRRT001PD2A3
CONN MAGJACK 1PORT 100 BASE-T,1,T1,WÃ¼rth Elektronik,7499210121A
LED RED CLEAR SMD,1,D1,Lite-On Inc.,LTST-C191KRKT
IC CTLR 3-1 ETH TCP/IP 48LQFP,1,U1,WIZnet,W5500
HDR KK 100 FrLk Vert 04 Ckt Tin,1,J4,Molex,22-04-5048
HDR 2 CKT 1.5mm. Rt.-Angle SMT,1,FIO2,Molex,87438-0243
HDR 4 CKT 1.5mm. Rt.-Angle SMT,2,"FLOW, OLED",Molex,87438-0443